     1.2. Требования к прохождению практики судейства для подтверждения квалификационных категорий спортивных судей																
Наименование подтверждаемой квалификационной категории спортивного судьи	Период прохождения практики судейства	Статус спортивных судей, предусмотренных Правилами 		Статус спортивных соревнований, их количество, необходимое для выполнения требований												
				Чемпионат России	Кубок России	Первенство России	Другие официальные всероссийские спортивные соревнования, этапы Кубка России, международные спортивные соревнования, включенные в ЕКП	"Чемпионат федерального округа, двух и более федеральных округов, чемпионаты 
г. Москвы, г. Санкт-Петербурга "	"Первенство федерального округа, двух и более федеральных округов, первенства 
г. Москвы, г. Санкт-Петербурга"	"Чемпионат субъекта Российской Федерации 
(кроме  г. Москвы и г. Санкт-Петербурга)"	Кубок субъекта Российской Федерации 	"Первенство субъекта Российской Федерации 
(кроме  г. Москвы и г. Санкт-Петербурга)"	"Другие официальные 
спортивные соревнования субъекта 
Российской Федерации"	Чемпионат муниципального образования	Первенство муниципального образования	Другие официальные соревнования муниципального образования
1	2	3		4	5	6	7	8	9	10	11	12	13	14	15	16
ВК	4 года	ГСК	Главный судья	3												
			Главный секретарь													
			Заместитель главного судьи 													
			Главный меритель (гомологатор)													
			Заместитель главного секретаря													
		Судья (арбитр) в слаломе, фигурном катании, прыжках с трамплина, вейкборде		4												
		Судья (арбитр) в катере														
		Секретарь														
		Судья – водитель катера														
		Условия:		"Требования ВК выполняются на соревнованиях соответствующего статуса при судействе не менее семи раз из указанных статусов спортивных судей, из которых не менее трех раз спортивный судья должен входить в состав ГСК 

                                      

"												
1К	2 года	ГСК	Главный судья					2								
			Главный секретарь													
			Заместитель главного судьи 													
			Главный меритель (гомологатор)													
			Заместитель главного секретаря													
		"Судья (арбитр) в слаломе, фигурном катании, прыжках 
с трамплина, вейкборде"						3								
		Судья (арбитр) в катере														
		Секретарь														
		Судья – водитель катера														
		Судья на старте														
		Помощник судьи на старте														
		Судья по безопасности														
		Судья-хронометрист														
		"Судья – оператор видеосистемы 
в катере "														
		Судья – оператор видеосистемы														
		Судья-комментатор														
		Условия:		"Требования 1К выполняются на соревнованиях соответствующего статуса при судействе не менее пяти раз из указанных статусов спортивных судей, из которых не менее двух раз спортивный судья должен входить в состав ГСК 

                                      

"												
2К	2 года	ГСК	Главный судья													
			Главный секретарь													
			Заместитель главного судьи 							1						
			Главный меритель (гомологатор)													
			Заместитель главного секретаря													
		"Судья (арбитр) в слаломе, фигурном катании, прыжках 
с трамплина, вейкборде"									3					
		Судья(арбитр) в катере														
		Секретарь														
		Судья – водитель катера														
		Судья не старте														
		Помощник судьи на старте														
		Судья по безопасности														
		Судья-хронометрист														
		"Судья – оператор видеосистемы 
в катере "														
		Судья – оператор видеосистемы														
		Судья при участниках														
		Судья-комментатор														
		Условия:		"Требования 2К выполняются на соревнованиях соответствующего статуса при судействе не менее четырех раз из указанных статусов спортивных судей, из которых не менее одного раза спортивный судья должен входить в состав ГСК 

                                      

"												
3К	1 год	"Судья (арбитр) в слаломе, фигурном катании, прыжках 
с трамплина, вейкборде"												3		
		Судья (арбитр) в катере														
		Секретарь														
		Судья – водитель катера														
		Судья не старте														
		Помощник судьи на старте														
		Судья по безопасности														
		Судья-хронометрист														
		Судья – оператор видеосистемы в катере 														
		Судья – оператор видеосистемы														
		Судья при участниках														
		Судья-комментатор														
		Условия:		"Требования 3К выполняются на соревнованиях соответствующего статуса при судействе не менее трех раз из указанных статусов спортивных судей 

                                      

"												
